指标,GDP,GDP(可比价格),GDP增长指数(上年＝100),GDP增长指数(1978年＝100),GDP增长指数(1990年＝100),GDP增长指数(2000年＝100),第一产业增加值,第一产业增加值(可比价格),第一产业增加值增长指数(上年＝100),第一产业增加值增长指数(1978年＝100),第一产业增加值增长指数(1990年＝100),第一产业增加值增长指数(2000年＝100),第二产业增加值,第二产业增加值(可比价格),第二产业增加值增长指数(上年＝100),第二产业增加值增长指数(1978年＝100),第二产业增加值增长指数(1990年＝100),第二产业增加值增长指数(2000年＝100),第三产业增加值,第三产业增加值(可比价格),第三产业增加值增长指数(上年＝100),第三产业增加值增长指数(1978年＝100),第三产业增加值增长指数(1990年＝100),第三产业增加值增长指数(2000年＝100),人均GDP,人均GDP增长指数(上年＝100),人均GDP增长指数(1978年＝100),国民总收入,国民总收入指数(上年=100),国民总收入指数(1978年=100),行业增加值_农、林、牧、渔业,工业增加值,行业增加值_建筑业,行业增加值_批发和零售业,行业增加值_交通运输、仓储和邮政业,行业增加值_住宿和餐饮业,行业增加值_金融业,行业增加值_房地产业,第一产业增加值占GDP比重,第二产业增加值占GDP比重,第三产业增加值占GDP比重,农、林、牧、渔业增加值占GDP比重,工业增加值占GDP比重,建筑业增加值占GDP比重,批发和零售业增加值占GDP比重,交通运输、仓储和邮政业增加值占GDP比重,住宿和餐饮业增加值占GDP比重,金融业增加值占GDP比重,房地产业增加值占GDP比重,行业增加值增长指数(上年＝100)_农、林、牧、渔业,工业增加值增长指数(上年＝100),行业增加值增长指数(上年＝100)_建筑业,行业增加值增长指数(上年＝100)_批发和零售业,行业增加值增长指数(上年＝100)_交通运输、仓储和邮政业,行业增加值增长指数(上年＝100)_住宿和餐饮业,行业增加值增长指数(上年＝100)_金融业,行业增加值增长指数(上年＝100)_房地产业,行业增加值增长指数(1978年＝100)_农、林、牧、渔业,工业增加值增长指数(1978年＝100),行业增加值增长指数(1978年＝100)_建筑业,行业增加值增长指数(1978年＝100)_批发和零售业,行业增加值增长指数(1978年＝100)_交通运输、仓储和邮政业,行业增加值增长指数(1978年＝100)_住宿和餐饮业,行业增加值增长指数(1978年＝100)_金融业,行业增加值增长指数(1978年＝100)_房地产业
地区,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国,全国
频度,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年
单位,亿元,亿元,-,-,-,-,亿元,亿元,-,-,-,-,亿元,亿元,-,-,-,-,亿元,亿元,-,-,-,-,元/人,-,-,亿元,-,-,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,%,%,%,%,%,%,%,%,%,%,%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1978,3678.7,3593,111.7,100,,,1018.5,927.8,104.1,100,,,1755.1,1776.5,115,100,,,905.1,888.8,113.6,100,,,385,110.2,100,3678.7,111.7,100,1027.5,1621.4,138.9,242.4,182,44.6,76.5,79.9,27.69,47.71,24.6,27.9,44.1,3.8,6.6,4.9,1.2,2.1,2.2,104.1,116.4,99.5,123.1,108.9,118.1,110.1,105.7,100,100,100,100,100,100,100,100
1979,4100.5,3865.8,107.6,107.6,,,1259,984.7,106.1,106.1,,,1925.3,1922.6,108.2,108.2,,,916.1,958.5,107.8,107.8,,,423,106.2,106.2,4100.5,107.6,107.6,1270.2,1786.5,144.6,200.9,193.7,44,75.9,86.3,30.7,47,22.3,31,43.6,3.5,4.9,4.7,1.1,1.9,2.1,106.1,108.7,102,108.7,108.3,111.1,98,104.1,106.1,108.7,102,108.7,108.3,111.1,98,104.1
1980,4587.6,4587.6,107.8,116,,,1359.5,1359.5,98.5,104.6,,,2204.7,2204.7,113.5,122.8,,,1023.4,1023.4,106.1,114.4,,,468,106.5,113.1,4587.6,107.8,116,1371.6,2014.8,196.3,193.8,213.4,47.4,85.8,96.4,29.6,48.1,22.3,29.9,43.9,4.3,4.2,4.7,1,1.9,2.1,98.5,112.6,126.6,98.1,104.3,103.9,107.3,107.9,104.6,122.4,129.2,106.7,112.9,115.5,105.2,112.3
1981,4935.8,4822.1,105.1,122,,,1545.7,1454.4,107,111.9,,,2269.1,2246.3,101.9,125.1,,,1121.1,1121.5,109.6,125.3,,,497,103.8,117.3,4933.7,105.1,121.9,1559.4,2067.7,208,231.2,220.8,54.1,91.6,99.9,31.3,46,22.7,31.6,41.9,4.2,4.7,4.5,1.1,1.9,2,107,101.7,103.2,129.5,101.9,117.5,104.7,96.5,111.9,124.5,133.3,138.2,115,135.6,110.2,108.4
1982,5373.4,5257,109,132.9,,,1761.7,1622.1,111.5,124.8,,,2397.6,2371.5,105.6,132.1,,,1214,1263.4,112.7,141.2,,,533,107.4,126,5380.5,109.2,133.1,1777.3,2183,221.6,171.5,246.9,62.3,130.6,110.8,32.8,44.6,22.6,33.1,40.6,4.1,3.2,4.6,1.2,2.4,2.1,111.5,105.8,103.4,99.3,111.4,131.6,143.1,109.1,124.8,131.7,137.9,137.2,128.1,178.5,157.6,118.2
1983,6020.9,5823.1,110.8,147.3,,,1960.9,1757.1,108.3,135.1,,,2663,2617.8,110.4,145.8,,,1397.1,1448.2,114.6,161.9,,,588,109.2,137.6,6043.8,111,147.8,1978.3,2399.1,271.7,198.7,275,72.5,168.9,121.8,32.6,44.2,23.2,32.9,39.8,4.5,3.3,4.6,1.2,2.8,2,108.3,109.7,117,121.2,109.5,119.4,126.5,105.2,135.1,144.5,161.3,166.3,140.2,213.1,199.5,124.3
1984,7278.5,6707.8,115.2,169.6,,,2295.6,1983.5,112.9,152.6,,,3124.7,2995.3,114.4,166.9,,,1858.2,1729,119.4,193.2,,,702,113.7,156.4,7314.2,115.3,170.5,2316,2815.8,317.9,363.6,338.6,96.8,230.5,162.3,31.5,42.9,25.5,31.8,38.7,4.4,5,4.7,1.3,3.2,2.2,112.9,114.8,110.8,124.7,114.9,108.1,130.7,127.7,152.6,165.9,178.8,207.4,161.1,230.3,260.8,158.7
